Date;Brand;Film.Code;Ratecard.Duration;Metric;Value
2017-07-29;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;329316,8428
2017-07-29;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;8,32
2017-07-30;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;369703,8259
2017-07-30;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;9,64
2017-07-31;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;536139,6696
2017-07-31;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;12,94
2017-08-01;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;293965,8894
2017-08-01;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;14,87
2017-08-02;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;170435,0437
2017-08-02;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;9,46
2017-08-03;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;380220,2408
2017-08-03;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;18,64
2017-08-04;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;4542,30128
2017-08-04;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;0
2017-08-10;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;292879,6869
2017-08-10;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;13,13
2017-08-11;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;188999,2315
2017-08-11;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;10,03
2017-08-12;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;266168,9804
2017-08-12;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;10,75
2017-08-13;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;199021,918
2017-08-13;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;10,96
2017-08-14;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;630886,1495
2017-08-14;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;27,67
2017-08-15;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;772339,3361
2017-08-15;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;27,39
2017-08-16;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;355780,685
2017-08-16;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;15,03
2017-08-17;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;Cost;12787,56556
2017-08-17;Nivea od 2005;Nivea mousse pani husta/ prysznic limitowana edycja 2op limit.edycja zapachy lata/promocyjna cena hebe 300817;30;TRP;0,4
2017-09-04;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;438430,8192
2017-09-04;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;9,55
2017-09-05;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;404116,6954
2017-09-05;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;TRP;11,39
2017-09-06;Loreal;Loreal preference paris kobieta wlosy platynowy blond 8 tygodni 5op/hebe -40% elle 300917;30;Cost;665348,3918
